"EventID";"Filename";"Index_In_File";"X";"Y"
"123028";"Snail4_NoBact_6_Nuc_processed";"247";"5514.197";"9025.336"
"103100";"Snail3_NoBact_5_Nuc_processed";"8501";"7538.7915";"-5290.96"
"30736";"Snail1_Phago_16_Nuc_processed";"1773";"414.88174";"5913.7803"
"71821";"Snail2_Phago_17_Nuc_processed";"4581";"-2546.3293";"4083.3154"
"176580";"Snail5_Phago_20_Nuc_processed";"4666";"-6923.9775";"4251.0723"
"19564";"Snail1_NoBact_3_Nuc_processed";"453";"-2254.467";"-3120.2083"
"87231";"Snail3_Ice_12_Nuc_processed";"1374";"3333.0098";"-1280.3558"
"43865";"Snail2_EDTA_23_Nuc_processed";"5156";"-2919.5938";"4352.935"
"178867";"Snail5_Phago_20_Nuc_processed";"6953";"6312.8306";"-3851.64"
"76053";"Snail2_Phago_17_Nuc_processed";"8813";"3951.635";"6216.166"
"65088";"Snail2_NoBact_4_Nuc_processed";"7469";"-9571.031";"6333.2593"
"126594";"Snail4_NoBact_6_Nuc_processed";"3813";"-7891.8555";"6100.465"
"68332";"Snail2_Phago_17_Nuc_processed";"1092";"-7098.4243";"5693.236"
"118806";"Snail4_Ice_13_Nuc_processed";"5392";"5051.928";"-6178.7964"
"166394";"Snail5_NoBact_7_Nuc_processed";"4442";"-6905.555";"-3614.7573"
"77271";"Snail3_EDTA_24_Nuc_processed";"482";"-1744.3167";"-2679.5256"
"73976";"Snail2_Phago_17_Nuc_processed";"6736";"-770.70654";"-3916.9016"
"128569";"Snail4_NoBact_6_Nuc_processed";"5788";"-1548.7858";"-2639.3508"
"178863";"Snail5_Phago_20_Nuc_processed";"6949";"-3515.6038";"3749.6665"
"177954";"Snail5_Phago_20_Nuc_processed";"6040";"9078.359";"3517.8774"
"179450";"Snail5_Phago_20_Nuc_processed";"7536";"-3238.0342";"-3383.7065"
"72879";"Snail2_Phago_17_Nuc_processed";"5639";"-2595.0684";"-33686.625"
"19747";"Snail1_NoBact_3_Nuc_processed";"636";"6361.536";"-5688.6953"
"151914";"Snail5_EDTA_26_Nuc_processed";"9380";"582.5261";"7167.863"
"26613";"Snail1_NoBact_3_Nuc_processed";"7502";"3338.3167";"-1325.8474"
"145031";"Snail5_EDTA_26_Nuc_processed";"2497";"-1093.1193";"3059.3455"
"125675";"Snail4_NoBact_6_Nuc_processed";"2894";"-8604.88";"6989.654"
"181828";"Snail5_Phago_20_Nuc_processed";"9914";"7040.9243";"-5639.923"
