Cluster,Term,Count,:Area_Intensity_DHR,:Bright.Detail.Intensity.R3_AdaptiveErode_BF_Ch02,:Bright.Detail.Intensity.R3_AdaptiveErode_BF_Ch11,:Circularity_AdaptiveErode_BF,:Circularity_Morphology_DNA,:Contrast_AdaptiveErode_BF_Ch01,:Contrast_AdaptiveErode_BF_Ch06,:Diameter_AdaptiveErode_BF,:H.Energy.Mean_AdaptiveErode_BF_Ch01_5,:H.Energy.Mean_Intensity_DHR_Ch07_5,:H.Energy.Mean_Morphology_DNA_Ch11_5,:H.Entropy.Mean_AdaptiveErode_BF_Ch01_5,:H.Entropy.Mean_Intensity_Bac_Ch07_5,:H.Entropy.Mean_Morphology_DNA_Ch11_5,:Intensity_AdaptiveErode_BF_Ch02,:Intensity_AdaptiveErode_BF_Ch06,:Intensity_AdaptiveErode_BF_Ch07,:Intensity_AdaptiveErode_BF_Ch11,:Lobe.Count_Morphology_DNA_Ch11,:Max.Pixel_Intensity_Bac_Ch07,:Max.Pixel_Intensity_SSC_Ch06,:Std.Dev_AdaptiveErode_BF_Ch01
27438,Snail2_Ice_11_Nuc_processed,172,0,1.408655655,2.213519907,0.847094443,0.818487326,1.467225302,2.032748208,6.113946522,1.917976325,0,0.509270008,10.11709728,0,8.172614638,5.337765086,10.32390009,2.625645515,2.089384113,4.076964992,0,0.753487883,2.495198124
27438,Snail5_Phago_20_Nuc_processed,131,0,1.61248585,1.929964609,0.824997193,0.857789835,1.253129502,1.855866549,5.996823742,1.97326769,0,0.663656,9.956674711,0,7.781400544,5.568479018,9.945871201,2.456487004,1.208861235,4.076964992,0,0.587047916,2.377585712
27438,Snail4_Phago_19_Nuc_processed,97,0,1.751535935,1.623787994,0.773429789,0.825118798,1.354683175,1.827564156,5.664098704,2.146899692,0,0.714917301,9.760566603,0,7.760237078,5.54944534,9.961971117,3.04711821,1.026105775,4.076964992,0.907517196,0.617004819,2.47419527
27438,Snail5_EDTA_26_Nuc_processed,70,0,1.302614593,2.79645708,0.846895868,0.853372987,1.375981566,1.506038866,5.989862534,2.063288768,0,0.567671619,10.17145516,0,8.023373074,4.724663148,9.687497457,2.593340637,1.713198991,4.076964992,0,0.550608797,2.467268699
27438,Snail2_EDTA_23_Nuc_processed,43,0,1.624451584,2.704761804,0.67424701,1.00724598,1.368352666,1.312151481,6.400639569,1.866581442,0,0.599502369,10.40243787,0,7.696016274,4.651474495,9.7449815,2.027618257,1.778932898,4.076964992,0,0.60321282,2.670348489
27438,Snail1_EDTA_22_Nuc_processed,35,0,1.241135475,2.662405355,0.693090294,0.963369801,0.981149859,1.227010636,6.338416878,2.098579387,0,0.617134627,10.04022681,0,8.006310435,4.929731497,9.781793178,2.884521689,2.030174547,4.076964992,0,0.496967304,2.366216442
27438,Snail1_Phago_16_Nuc_processed,123,0,1.533264437,1.946069187,0.747772652,0.88963304,1.206799786,1.640306538,5.866709986,2.15914465,0,0.657992155,9.945987381,0,7.859936337,5.534602966,9.850005245,3.094726911,1.190857297,4.076964992,0,0.550075266,2.22297801
27438,Snail3_NoBact_5_Nuc_processed,178,0,1.599694893,2.472220427,0.889526859,0.809234917,1.465603972,2.11405573,6.065993661,1.900212844,0,0.623406399,10.02962181,0,7.836118637,5.047783938,10.54389121,2.246913706,1.653858453,4.076964992,0,0.909941576,2.594926012
27438,Snail4_EDTA_25_Nuc_processed,57,0,1.400816136,2.525654353,0.800435981,0.969232306,1.424095496,1.449141762,6.262266594,1.77212166,0,0.715571658,10.28596781,0,7.923353628,4.931025325,9.786927959,2.513547263,0.920315874,4.076964992,0.871217135,0.614433257,2.911441706
27438,Snail2_Phago_17_Nuc_processed,108,0,1.910391373,2.308473189,0.866035583,0.858737944,1.442451497,1.86296063,5.748178397,1.949590432,0,0.642203746,10.0243601,0,7.971520415,5.586665485,9.994397315,2.746876578,1.306170359,4.076964992,0,0.645211924,2.529020568
